Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,BZX84-C2V7,,,D1,,,162,,,
2,1,QBC846B,,,Q1,,,10,,,
3,1,QBC846B,,,Q2,,,14,,,
4,1,QBC807-25,,,Q3,,,18,,,
5,1,QBC807-25,,,Q4,,,22,,,
6,1,QBC846B,,,Q5,,,35,,,
7,1,QBC846B,,,Q6,,,47,,,
8,1,QBC846B,,,Q7,,,52,,,
9,1,QBC846B,,,Q8,,,74,,,
10,1,QBC846B,,,Q9,,,182,,,
11,1,QBC846B,,,Q10,,,186,,,
12,1,QBC846B,,,Q11,,,206,,,
13,1,QBC846B,,,Q12,,,242,,,
14,1,QBC846B,,,Q13,,,253,,,
15,1,2k,,,R2,,,63,,,
16,1,3k,,,R3,,,67,,,
17,1,1k,,,R4,,,78,,,
18,1,1k,,,R6,,,102,,,
19,1,3k,,,R7,,,151,,,
20,1,5k,,,R8,,,168,,,
21,1,100,,,R9,,,173,,,
22,1,100,,,R10,,,176,,,
23,1,2,,,R11,,,202,,,
24,1,1k,,,R12,,,259,,,
25,1,500,,,RL,,,71,,,
