Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C1,100n,,,
1,,D1,BZX84-C5V1,,,
1,,Q1,QBC846B,,,
1,,Q2,QBC846B,,,
1,,Q3,QBC807-25,,,
1,,Q4,QBC807-25,,,
1,,Q6,QBC846B,,,
1,,Q9,QBC846B,,,
1,,Q10,QBC846B,,,
1,,Q11,QBC846B,,,
1,,Q14,QBC846B,,,
1,,Q16,QBC846B,,,
1,,Q17,QBC846B,,,
1,,Q18,QMJD31C,,,
1,,R4,2k,,,
1,,R6,1k,,,
1,,R9,100,,,
1,,R10,100,,,
1,,R14,2k,,,
1,,R15,2k,,,
1,,R16,100,,,
1,,R17,50,,,
1,,R20,2,,,
1,,R21,510,,,
1,,R22,3.3k,,,
1,,RL,500,,,
